,country,pay,count
0,italy,$20k - $40k,1
1,Vietnam,"Less than $20,000",1
2,Vietnam,$20k - $40k,1
3,Venezuela,"Less than $20,000",1
4,Usa,$40k - $60k,1
5,Uruguay,"Less than $20,000",1
6,United Kingdom ,$40k - $60k,2
7,United Kingdom ,$20k - $40k,1
8,United Kingdom,"Less than $20,000",4
9,United Kingdom,$80k - $100k,7
10,United Kingdom,$60k - $80k,16
11,United Kingdom,$40k - $60k,31
12,United Kingdom,$20k - $40k,18
13,United Kingdom,$200k+,1
14,United Kingdom,$180k - $200k,1
15,United Kingdom,$160k - $180k,2
16,United Kingdom,$120k - $140k,3
17,United Kingdom,$100k - $120k,5
18,Uganda,"Less than $20,000",2
19,USA,"Less than $20,000",14
20,USA,$80k - $100k,114
21,USA,$60k - $80k,124
22,USA,$40k - $60k,82
23,USA,$20k - $40k,29
24,USA,$200k+,54
25,USA,$180k - $200k,21
26,USA,$160k - $180k,15
27,USA,$140k - $160k,37
28,USA,$120k - $140k,67
29,USA,$100k - $120k,88
30,Turkey,"Less than $20,000",1
31,Turkey,$20k - $40k,4
32,Tunisia,$20k - $40k,1
33,Thailand,$20k - $40k,1
34,Tanzania,"Less than $20,000",1
35,Tanzania,$200k+,1
36,Taiwan,"Less than $20,000",1
37,Switzerland,"Less than $20,000",1
38,Switzerland,$80k - $100k,2
39,Switzerland,$40k - $60k,3
40,Switzerland,$160k - $180k,1
41,Switzerland,$140k - $160k,1
42,Sweden,"Less than $20,000",1
43,Sweden,$60k - $80k,2
44,Sweden,$40k - $60k,4
45,Spain,"Less than $20,000",3
46,Spain,$80k - $100k,2
47,Spain,$60k - $80k,5
48,Spain,$40k - $60k,6
49,Spain,$20k - $40k,12
50,South Africa ,$80k - $100k,1
51,South Africa,$80k - $100k,1
52,South Africa,$60k - $80k,1
53,South Africa,$40k - $60k,2
54,South Africa,$100k - $120k,1
55,Slovenia,$20k - $40k,1
56,Singapore ,$80k - $100k,1
57,Singapore ,$40k - $60k,1
58,Singapore,$80k - $100k,1
59,Singapore,$40k - $60k,1
60,Serbia,"Less than $20,000",1
61,Serbia,$20k - $40k,1
62,Scotland,$60k - $80k,3
63,Scotland,$40k - $60k,2
64,Scotland,$20k - $40k,1
65,Scotland,$100k - $120k,1
66,Saudi Arabia,$60k - $80k,1
67,Saudi Arabia,$100k - $120k,1
68,Russia ,"Less than $20,000",1
69,Russia ,$20k - $40k,1
70,Russia,"Less than $20,000",4
71,Russia,$20k - $40k,1
72,Romania,"Less than $20,000",1
73,Qatar,$40k - $60k,1
74,Portugal,"Less than $20,000",3
75,Portugal,$40k - $60k,1
76,Poland,"Less than $20,000",1
77,Poland,$80k - $100k,1
78,Poland,$60k - $80k,1
79,Poland,$40k - $60k,1
80,Poland,$20k - $40k,2
81,Philippines,"Less than $20,000",1
82,Peru,$20k - $40k,1
83,Panama,$60k - $80k,1
84,Pakistan,"Less than $20,000",1
85,Norway,$80k - $100k,2
86,Norway,$60k - $80k,3
87,Norway,$180k - $200k,1
88,Norway,$120k - $140k,1
89,Nigeria,"Less than $20,000",2
90,New Zealand,$80k - $100k,3
91,New Zealand,$60k - $80k,2
92,New Zealand,$100k - $120k,1
93,Netherlands ,$60k - $80k,1
94,Netherlands,$80k - $100k,2
95,Netherlands,$60k - $80k,3
96,Netherlands,$40k - $60k,2
97,Netherlands,$20k - $40k,3
98,Netherlands,$100k - $120k,1
99,Mexico,"Less than $20,000",12
100,Mexico,$60k - $80k,3
101,Mexico,$40k - $60k,1
102,Mexico,$20k - $40k,9
103,Mexico,$180k - $200k,1
104,Mexico,$100k - $120k,1
105,Malaysia,$20k - $40k,2
106,Madagascar,$20k - $40k,1
107,Luxembourg,$60k - $80k,2
108,Luxembourg,$120k - $140k,1
109,Lebanon,$40k - $60k,1
110,Kuwait,$40k - $60k,1
111,Kenya,"Less than $20,000",3
