Have you studied data visualization in school (or other formal environment) or did you learn how to do it on your own?,What technologies do you use to visualize data? Select all that apply.
Equal Parts School and Self-Taught,"ArcGIS, Excel, ggplot2, Gephi, Illustrator, Java, Leaflet, Mapbox, Plotly, Python, QGIS, R, Tableau, Web Components, Pen & Paper, Other physical materials, Canvas, GeoDa"
Mostly Self-Taught,"Excel, Tableau, Piktochart, Venngage, Flourish"
Equal Parts School and Self-Taught,"Excel, Power BI, R, Tableau, Pen & Paper, PowerPoint"
Mostly Self-Taught,"Excel, Google data studio"
Mostly Self-Taught,"Excel, Google data studio"
Mostly Self-Taught,"D3, Illustrator, Leaflet, Power BI"
Mostly Self-Taught,"Power BI, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Angular, Excel, Java, R, React, Vega, Pen & Paper"
Equal Parts School and Self-Taught,"ArcGIS, D3, Excel, Illustrator, Leaflet, Mapbox, Processing, Python, QGIS, Pen & Paper, P5/Processing, Three.js"
Mostly Self-Taught,"D3, Excel, Java, Mapbox, Python, R, Vega, Vue, WebGL, Pen & Paper"
Mostly Self-Taught,"Excel, Power BI"
Mostly Self-Taught,"Illustrator, Mapbox, Tableau"
Equal Parts School and Self-Taught,"D3, Excel, Illustrator, Mapbox, kepler.gl, Python, Vega, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, Gephi, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, Gephi, Plotly, R, Tableau, Pen & Paper"
Mostly Self-Taught,"ggplot2, R"
Equal Parts School and Self-Taught,"Excel, ggplot2, Power BI, Python, R, Tableau, Matplotlib"
Mostly From School (or other formal courses),"ArcGIS, D3, Excel, Gephi, Illustrator, R, Tableau"
Mostly Self-Taught,"Excel, Highcharts, Illustrator, Mapbox, kepler.gl, Plotly, Power BI, QGIS, Canvas, Matplotlib, Flourish"
Mostly Self-Taught,"Excel, Illustrator"
Mostly Self-Taught,"Python, Vega"
Equal Parts School and Self-Taught,"Cytoscape, Excel, ggplot2, R, Pen & Paper"
Mostly Self-Taught,"D3, Tableau"
Equal Parts School and Self-Taught,"ArcGIS, D3, Excel, Illustrator, Leaflet, Mapbox, Power BI, QGIS, R, Tableau, Pen & Paper"
Mostly Self-Taught,"ArcGIS, Excel, Illustrator, R, Pen & Paper, Other physical materials"
Mostly Self-Taught,"D3, Angular, Excel, ggplot2, Gephi, Illustrator, Power BI, Python, R, Tableau, Pen & Paper, Matplotlib"
Mostly Self-Taught,"Excel, ggplot2, Gephi, Python, R"
Mostly From School (or other formal courses),"ArcGIS, Excel, Illustrator, Mapbox, kepler.gl, Plotly, Python, QGIS, Tableau, Matplotlib"
Mostly Self-Taught,"R, Tableau"
Mostly Self-Taught,"D3, Excel, React, Tableau, Vue"
Mostly Self-Taught,"Excel, ggplot2, Plotly, Python, R"
Mostly Self-Taught,"Excel, Python, Tableau, Matplotlib"
Mostly Self-Taught,ggplot2
Equal Parts School and Self-Taught,"Pen & Paper, Other physical materials, MS Office"
