ID,country,Continent
AND,Andorra,Europe
ARE,United Arab Emirates,Asia
AFG,Afghanistan,Asia
ATG,Antigua Barbuda,North America
ALB,Albania,Europe
ARM,Armenia,Asia
AGO,Angola,Africa
ARG,Argentina,South America
AUT,Austria,Europe
AUS,Australia,Oceania
AZE,Azerbaijan,Asia
BIH,Bosnia Herzegovina,Europe
BRB,Barbados,North America
BGD,Bangladesh,Asia
BEL,Belgium,Europe
BFA,Burkina Faso,Africa
BGR,Bulgaria,Europe
BHR,Bahrain,Asia
BDI,Burundi,Africa
BEN,Benin,Africa
BRN,Brunei Darussalam,Asia
BOL,Bolivia,South America
BRA,Brazil,South America
BHS,Bahamas,North America
BTN,Bhutan,Asia
BWA,Botswana,Africa
BLR,Belarus,Europe
BLZ,Belize,North America
CAN,Canada,North America
COD,Congo,Africa
CAF,Central African Rep,Africa
COG,Congo,Africa
CHE,Switzerland,Europe
CIV,Cote d Ivoire,Africa
CHL,Chile,South America
CMR,Cameroon,Africa
CHN,China,Asia
COL,Colombia,South America
CRI,Costa Rica,North America
CUB,Cuba,North America
CPV,Cabo Verde,Africa
CYP,Cyprus,Asia
CZE,Czech Republic,Europe
DEU,Germany,Europe
DJI,Djibouti,Africa
DNK,Denmark,Europe
DMA,Dominica,North America
DOM,Dominican,North America
DZA,Algeria,Africa
ECU,Ecuador,South America
EST,Estonia,Europe
EGY,Egypt,Africa
SAH,Western Sahara,Africa
ERI,Eritrea,Africa
ESP,Spain,Europe
ETH,Ethiopia,Africa
FIN,Finland,Europe
FJI,Fiji,Oceania
FSM,Micronesia,Oceania
FRA,France,Europe
GAB,Gabon,Africa
GBR,United Kingdom,Europe
GRD,Grenada,North America
GEO,Georgia,Asia
GHA,Ghana,Africa
GMB,Gambia,Africa
GIN,Guinea,Africa
GNQ,Equatorial Guinea,Africa
GRC,Greece,Europe
GTM,Guatemala,North America
GNB,Guinea-Bissau,Africa
GUY,Guyana,South America
HND,Honduras,North America
HRV,Croatia,Europe
HTI,Haiti,North America
HUN,Hungary,Europe
IDN,Indonesia,Asia
IRL,Ireland,Europe
ISR,Israel,Asia
IND,India,Asia
IRQ,Iraq,Asia
IRN,Iran,Asia
ISL,Iceland,Europe
ITA,Italy,Europe
JAM,Jamaica,North America
JOR,Jordan,Asia
JPN,Japan,Asia
KEN,Kenya,Africa
KGZ,Kyrgyzstan,Asia
KHM,Cambodia,Asia
KIR,Kiribati,Oceania
COM,Comoros,Africa
KNA,Saint Kitts,North America
KOR,South Korea,Asia
PRK,North Korea,Asia
KOS,Kosovo,Europe
KWT,Kuwait,Asia
KAZ,Kazakhstan,Asia
LAO,Laos,Asia
LBN,Lebanon,Asia
LCA,Saint Lucia,North America
LIE,Liechtenstein,Europe
LKA,Sri Lanka,Asia
LBR,Liberia,Africa
LSO,Lesotho,Africa
LTU,Lithuania,Europe
LUX,Luxembourg,Europe
LVA,Latvia,Europe
LBY,Libya,Africa
MAR,Morocco,Africa
MCO,Monaco,Europe
MDA,Moldova,Europe
MNE,Montenegro,Europe
MDG,Madagascar,Africa
MHL,Marshall Islands,Oceania
MKD,Macedonia,Europe
MLI,Mali,Africa
MMR,Myanmar,Asia
MNG,Mongolia,Asia
MRT,Mauritania,Africa
MLT,Malta,Europe
MUS,Mauritius,Africa
MDV,Maldives,Asia
MWI,Malawi,Africa
MEX,Mexico,North America
MYS,Malaysia,Asia
MOZ,Mozambique,Africa
NAM,Namibia,Africa
NER,Niger,Africa
NGA,Nigeria,Africa
NIC,Nicaragua,North America
NLD,Netherlands,Europe
NOR,Norway,Europe
NPL,Nepal,Asia
NRU,Nauru,Oceania
NZL,New Zealand,Oceania
OMN,Oman,Asia
PAN,Panama,North America
PER,Peru,South America
PNG,Papua New Guinea,Oceania
PHL,Philippines,Asia
PAK,Pakistan,Asia
POL,Poland,Europe
PRT,Portugal,Europe
PLW,Palau,Oceania
PRY,Paraguay,South America
QAT,Qatar,Asia
ROU,Romania,Europe
SRB,Serbia,Europe
RUS,Russia,Europe
RWA,Rwanda,Africa
SAU,Saudi Arabia,Asia
SLB,Solomon Islands,Oceania
SYC,Seychelles,Africa
SDN,Sudan,Africa
SWE,Sweden,Europe
SGP,Singapore,Asia
SVN,Slovenia,Europe
SVK,Slovakia,Europe
SLE,Sierra Leone,Africa
SMR,San Marino,Europe
SEN,Senegal,Africa
SOM,Somalia,Africa
SUR,Suriname,South America
STP,Sao Tome,Africa
SLV,El Salvador,North America
SYR,Syrian Arab,Asia
SWZ,Swaziland,Africa
TCD,Chad,Africa
TGO,Togo,Africa
THA,Thailand,Asia
TJK,Tajikistan,Asia
TLS,Timor-Leste,Asia
TKM,Turkmenistan,Asia
TUN,Tunisia,Africa
TON,Tonga,Oceania
TUR,Turkey,Asia
TTO,Trinidad and Tobago,North America
TUV,Tuvalu,Oceania
TWN,Taiwan,Asia
TZA,Tanzania,Africa
UKR,Ukraine,Europe
UGA,Uganda,Africa
USA,USA,North America
URY,Uruguay,South America
UZB,Uzbekistan,Asia
VAT,Vatican City,Europe
VCT,Saint Vincent,North America
VEN,Venezuela,South America
VNM,Viet Nam,Asia
VUT,Vanuatu,Oceania
WSM,Samoa,Oceania
YEM,Yemen,Asia
ZAF,South Africa,Africa
ZMB,Zambia,Africa
ZWE,Zimbabwe,Africa
